time,velocity,angle,resistance_raw,pvdf_mv
18.343180399999255,8.0,38.11713,7292.0,0.9115001
18.497057700005826,8.0,31.47577,6539.0,0.8173751
18.67765870000585,8.0,24.04952,7453.0,0.9316251
18.79495440000028,8.0,16.38176,5899.0,0.737375
18.943129299994325,8.0,8.04987,5481.0,0.6851251
19.093361200008076,8.0,0.5028648,7374.0,0.9217501
19.2487073999946,8.0,0.0,4081.0,0.5101251
19.432947699999204,8.0,2.022857,4974.0,0.6217501
19.5428641000035,8.0,6.604034,4139.0,0.517375
19.69326309999451,8.0,12.91059,2878.0,0.35975
19.842728000003262,8.0,19.57412,3968.0,0.496
19.99350979999872,8.0,26.35664,2895.0,0.361875
20.144192200008547,8.0,34.09109,2571.0,0.321375
20.293704600000638,8.0,41.40908,2895.0,0.361875
20.475388899998507,8.0,0.06125627,2168.0,0.271
20.59385430000839,8.0,42.2227,5932.0,0.7415
20.75504410000576,8.0,37.87563,6470.0,0.8087501
20.905609900000854,8.0,31.17389,6431.0,0.8038751
21.05653309999616,8.0,23.86839,7279.0,0.909875
21.240441300004022,8.0,15.778,5697.0,0.7121251
21.35806660000526,8.0,7.929115,5579.0,0.6973751
21.50727139999799,8.0,0.0,5172.0,0.6465001
21.663236499996856,8.0,0.0,4906.0,0.61325
21.807889799994882,8.0,2.141849,5300.0,0.6625
21.957823999997345,8.0,6.782521,3990.0,0.49875
22.107545000006212,8.0,13.20807,3661.0,0.457625
22.277653900004225,8.0,20.34756,4378.0,0.54725
22.408060400004615,8.0,27.36807,2514.0,0.31425
22.55952769999567,8.0,34.38857,3080.0,0.385
22.710611600006814,8.0,42.24202,2549.0,0.318625
22.864050200005295,8.0,0.06125627,2804.0,0.3505
23.00924899999518,8.0,42.52458,5601.0,0.700125
23.160281600008602,8.0,38.05676,7089.0,0.886125
23.310422700000345,8.0,31.71727,6950.0,0.86875
23.46014969999669,8.0,24.95516,7379.0,0.922375
23.61150440000347,8.0,17.16665,6082.0,0.76025
23.76527360000182,8.0,9.257389,5140.0,0.6425
23.911278200001107,8.0,1.167,4409.0,0.551125
24.0737294999999,8.0,0.0,4814.0,0.60175
24.209757999997237,8.0,1.784874,4876.0,0.6095
24.36112950000097,8.0,6.425546,3826.0,0.47825
24.509614900001907,8.0,12.7321,4382.0,0.54775
24.66096850000031,8.0,19.75261,3266.0,0.40825
24.837031899995054,8.0,26.9516,2881.0,0.360125
24.960934700007783,8.0,34.32907,2190.0,0.27375
25.111218000005465,8.0,41.23059,2730.0,0.34125
25.266264999998384,8.0,0.06125627,2474.0,0.30925
25.411095600007684,8.0,42.58496,5769.0,0.721125
25.561486100006732,8.0,38.35863,6534.0,0.81675
25.71185069999774,8.0,32.07953,7324.0,0.9155001
25.861731500001042,8.0,24.65328,6815.0,0.8518751
26.01199670000642,8.0,17.71003,6917.0,0.8646251
